acara_sml_id,school_name,school_sector,school_type,school_url,year_range,icsea,icsea_percentile,bottom_sea_quarter,lower_middle_sea_quarter,upper_middle_sea_quarter,top_sea_quarter,teaching_staff,full_time_equivalent_teaching_staff,non_teaching_staff,full_time_equivalent_non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments,full_time_equivalent_enrolments,indigenous_enrolments,language_background_other_than_english_yes,language_background_other_than_english_no,language_background_other_than_english_not_stated,latitude,longitude,lga_code
48112,Gulf Christian College,Independent,Combined,http://www.gulfcc.qld.edu.au/,Prep-9,850.0,4.0,52.0,29.0,15.0,3.0,12.0,10.8,15.0,11.4,112.0,55.0,57.0,112.0,60.0,18.0,82.0,0.0,-17.67093451,141.07980688,32250
48113,Heights College,Independent,Combined,http://www.heights.qld.edu.au,Prep-12,1007.0,50.0,25.0,37.0,28.0,10.0,72.0,63.1,58.0,45.1,880.0,447.0,433.0,880.0,6.0,22.0,78.0,0.0,-23.32890646,150.51558379,36370
48115,Arethusa College,Independent,Special,http://arethusa.qld.edu.au/,7-12,963.0,28.0,44.0,29.0,20.0,7.0,49.0,44.1,206.0,94.5,817.0,297.0,520.0,817.0,13.0,2.0,98.0,0.0,-27.178723,152.986551,35010
48116,Albany Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4001,7-12,1008.0,50.0,27.0,34.0,25.0,14.0,70.0,63.6,37.0,27.0,912.0,467.0,445.0,912.0,5.0,7.0,73.0,21.0,-35.01976406,117.891925,50080
48117,Applecross Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4002,7-12,1113.0,89.0,5.0,15.0,33.0,47.0,124.0,113.1,49.0,37.7,1720.0,868.0,852.0,1720.0,0.0,34.0,53.0,13.0,-32.02877,115.83382,55320
48118,Armadale Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4003,7-12,929.0,16.0,63.0,26.0,9.0,2.0,61.0,55.4,36.0,27.9,727.0,312.0,415.0,727.0,9.0,10.0,89.0,0.0,-32.1616299,116.0163477,50210
48119,Balcatta Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4004,7-12,1026.0,59.0,22.0,33.0,31.0,15.0,63.0,57.0,47.0,38.2,760.0,404.0,356.0,760.0,3.0,55.0,45.0,0.0,-31.87572953,115.8126093,57910
48120,Belmont City College,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4005,7-12,962.0,28.0,47.0,28.0,19.0,7.0,76.0,71.3,44.0,36.8,940.0,463.0,477.0,940.0,11.0,42.0,4.0,54.0,-31.9557464,115.9362663,50490
48121,Bridgetown High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4007,7-10,989.0,41.0,39.0,34.0,18.0,9.0,21.0,17.6,15.0,11.5,197.0,96.0,101.0,197.0,4.0,4.0,76.0,20.0,-33.96079,116.14142,50840
48122,Bunbury Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4008,7-12,1018.0,55.0,25.0,36.0,24.0,15.0,79.0,70.8,35.0,31.1,951.0,519.0,432.0,951.0,4.0,10.0,75.0,15.0,-33.32722222,115.6327778,51190
