f_indonesia_25_44_yrs, f_korea_south_85_yrs_ov, f_japan_5_14_yrs, f_greece_55_64_yrs, f_fiji_25_44_yrs, f_malta_45_54_yrs, f_hong_kong_tot, f_korea_south_65_74_yrs, f_malaysia_0_4_yrs, f_japan_15_24_yrs, f_japan_85_yrs_ov, f_india_25_44_yrs, f_hong_kong_15_24_yrs, f_malta_75_84_yrs, f_egypt_55_64_yrs, f_fiji_65_74_yrs, f_germany_55_64_yrs, f_india_55_64_yrs, f_hong_kong_55_64_yrs, f_italy_25_44_yrs, f_france_45_54_yrs, f_france_25_44_yrs, f_fiji_15_24_yrs, f_indonesia_tot, f_england_25_44_yrs, f_ireland_85_yrs_ov, f_greece_5_14_yrs, f_lebanon_5_14_yrs, f_croatia_85_yrs_ov, f_indonesia_85_yrs_ov, f_hong_kong_45_54_yrs, f_india_75_84_yrs, f_england_0_4_yrs, f_england_75_84_yrs, lga_code_2016, f_china_75_84_yrs, f_ireland_75_84_yrs, f_korea_south_0_4_yrs, f_egypt_75_84_yrs, f_egypt_85_yrs_ov, f_greece_65_74_yrs, f_croatia_5_14_yrs, f_lebanon_65_74_yrs, f_germany_45_54_yrs, f_china_15_24_yrs, f_malaysia_45_54_yrs, f_italy_tot, f_fiji_tot, f_malaysia_55_64_yrs, f_iraq_25_44_yrs, f_italy_75_84_yrs, f_england_65_74_yrs, f_lebanon_25_44_yrs, f_italy_65_74_yrs, f_china_55_64_yrs, f_italy_15_24_yrs, f_hong_kong_65_74_yrs, f_china_85_yrs_ov, f_egypt_65_74_yrs, f_indonesia_15_24_yrs, f_fiji_5_14_yrs, f_iraq_0_4_yrs, f_england_45_54_yrs, f_lebanon_15_24_yrs, f_fiji_45_54_yrs, f_china_65_74_yrs, f_germany_75_84_yrs, f_iraq_75_84_yrs, f_germany_65_74_yrs, f_france_5_14_yrs, f_iraq_45_54_yrs, f_ireland_65_74_yrs, f_croatia_25_44_yrs, f_egypt_5_14_yrs, f_china_45_54_yrs, f_india_0_4_yrs, f_england_5_14_yrs, f_lebanon_0_4_yrs, f_hong_kong_5_14_yrs, f_france_tot, f_iraq_85_yrs_ov, f_korea_south_25_44_yrs, f_india_5_14_yrs, f_germany_85_yrs_ov, f_indonesia_75_84_yrs, f_china_tot, f_indonesia_5_14_yrs, f_india_tot, f_china_0_4_yrs, f_iran_65_74_yrs, f_fiji_55_64_yrs, f_malta_15_24_yrs, f_indonesia_65_74_yrs, f_lebanon_55_64_yrs, f_malta_85_yrs_ov, f_japan_45_54_yrs, f_germany_0_4_yrs, f_malaysia_65_74_yrs, f_france_65_74_yrs, f_hong_kong_0_4_yrs, f_ireland_0_4_yrs, f_italy_85_yrs_ov, f_japan_55_64_yrs, f_korea_south_55_64_yrs, f_france_0_4_yrs, f_japan_tot, f_lebanon_75_84_yrs, f_egypt_25_44_yrs, f_greece_25_44_yrs, f_croatia_55_64_yrs, f_malta_5_14_yrs, f_iran_55_64_yrs, f_hong_kong_75_84_yrs, f_korea_south_tot, f_iraq_5_14_yrs, f_korea_south_45_54_yrs, f_lebanon_85_yrs_ov, f_greece_tot, f_japan_65_74_yrs, f_china_25_44_yrs, f_malta_65_74_yrs, f_korea_south_5_14_yrs, f_italy_5_14_yrs, f_greece_0_4_yrs, f_germany_5_14_yrs, f_germany_tot, f_greece_85_yrs_ov, f_germany_25_44_yrs, f_italy_45_54_yrs, f_japan_0_4_yrs, f_malta_55_64_yrs, f_iran_tot, f_ireland_5_14_yrs, f_malta_tot, f_iraq_tot, f_hong_kong_25_44_yrs, f_lebanon_45_54_yrs, f_egypt_0_4_yrs, f_italy_0_4_yrs, f_malta_25_44_yrs, f_indonesia_0_4_yrs, f_iran_0_4_yrs, f_croatia_65_74_yrs, f_iran_15_24_yrs, f_malaysia_25_44_yrs, f_india_45_54_yrs, f_ireland_45_54_yrs, f_germany_15_24_yrs, f_hong_kong_85_yrs_ov, f_malaysia_85_yrs_ov, f_japan_25_44_yrs, f_iraq_55_64_yrs, f_malaysia_tot, f_egypt_45_54_yrs, f_india_15_24_yrs, f_china_5_14_yrs, f_indonesia_55_64_yrs, f_france_85_yrs_ov, f_england_tot, f_croatia_15_24_yrs, f_croatia_tot, f_malta_0_4_yrs, f_malaysia_75_84_yrs, f_greece_45_54_yrs, f_egypt_tot, f_iran_5_14_yrs, f_england_85_yrs_ov, f_japan_75_84_yrs, f_ireland_tot, f_fiji_75_84_yrs, f_india_65_74_yrs, f_iraq_65_74_yrs, f_ireland_15_24_yrs, f_india_85_yrs_ov, f_ireland_25_44_yrs, lga_name_2016, f_iran_25_44_yrs, f_croatia_45_54_yrs, f_croatia_75_84_yrs, f_england_15_24_yrs, f_croatia_0_4_yrs, f_indonesia_45_54_yrs, f_france_75_84_yrs, f_france_55_64_yrs, f_korea_south_75_84_yrs, f_ireland_55_64_yrs, f_england_55_64_yrs, f_iran_85_yrs_ov, f_france_15_24_yrs, f_iraq_15_24_yrs, f_fiji_85_yrs_ov, f_greece_75_84_yrs, f_fiji_0_4_yrs, f_lebanon_tot, f_egypt_15_24_yrs, f_greece_15_24_yrs, f_iran_75_84_yrs, f_malaysia_15_24_yrs, f_malaysia_5_14_yrs, f_korea_south_15_24_yrs, f_iran_45_54_yrs, f_italy_55_64_yrs
209,6,5,34,171,10,997,57,5,10,0,1363,67,35,62,38,42,319,315,20,11,25,12,493,462,7,3,0,9,9,208,108,19,206,"17420",125,14,6,20,8,39,0,40,35,187,151,485,436,239,41,118,421,102,137,680,4,84,65,57,46,0,0,542,4,111,317,29,7,106,3,19,36,17,16,806,32,178,0,26,55,0,537,161,14,11,4460,17,2855,50,31,84,0,44,86,13,31,0,158,6,14,0,58,8,167,0,122,21,74,11,45,0,107,22,1286,0,276,0,135,9,2099,91,85,3,0,6,309,4,53,43,3,64,840,24,222,90,257,117,0,0,9,0,0,52,57,227,494,40,25,3,20,50,16,928,63,154,136,57,0,2505,3,189,0,40,9,317,35,68,4,262,14,192,8,17,34,70,"The Hills Shire (A)",413,42,25,180,0,94,0,7,29,47,431,12,10,3,4,24,0,372,14,0,16,46,39,127,170,100
13,0,8,3,9,0,17,3,0,4,0,83,0,10,0,7,34,18,3,11,9,14,3,38,197,6,0,0,0,3,4,9,3,478,"17550",3,12,0,4,3,0,0,0,29,23,11,79,58,11,0,12,546,0,10,12,0,0,6,3,0,4,0,306,0,12,7,47,0,71,0,0,14,0,0,26,3,60,0,3,58,0,18,10,20,3,137,0,172,3,0,13,0,5,0,4,18,0,13,8,0,0,15,7,0,3,112,0,0,0,3,0,0,0,24,0,0,0,14,4,56,14,0,0,0,3,234,0,24,10,0,6,4,7,36,0,4,5,0,0,0,0,0,6,0,12,19,10,7,3,0,60,0,60,0,3,3,11,8,2231,0,14,0,3,0,8,0,200,5,87,6,15,0,0,5,19,"Tweed (A)",7,0,3,57,0,8,3,13,0,19,385,0,3,0,4,7,0,3,0,0,0,0,0,0,0,17
3,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,4,26,0,0,0,0,0,0,0,0,17,"17620",0,0,0,0,0,0,0,0,3,0,3,4,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,32,0,0,0,3,0,4,0,0,0,0,0,4,0,3,0,0,4,0,3,3,0,0,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,124,0,3,0,0,0,0,0,5,0,22,0,0,0,0,0,11,"Upper Hunter Shire (A)",0,3,0,8,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,11,"17640",0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,26,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,"Upper Lachlan Shire (A)",0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,"17650",0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,75,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,"Uralla (A)",0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,4,9,0,25,0,6,0,0,187,0,0,3,5,8,11,6,3,3,5,4,16,57,0,0,0,0,0,4,7,0,42,"17750",0,0,0,0,0,3,0,0,0,15,13,24,27,7,7,3,73,0,3,9,0,0,0,3,0,0,0,81,4,5,0,6,0,23,0,3,4,0,9,21,0,23,0,0,14,0,26,44,16,0,129,0,311,3,0,3,0,0,0,0,0,0,3,0,0,0,6,0,0,0,11,0,19,0,3,0,3,0,42,0,3,0,11,0,64,0,3,0,0,0,61,0,8,0,0,0,32,20,8,22,16,0,0,0,0,0,3,0,6,25,23,0,0,0,0,5,4,65,6,21,8,6,0,410,0,8,0,0,0,39,7,24,0,48,0,9,0,0,0,13,"Wagga Wagga (C)",9,3,3,20,0,5,0,0,0,0,79,0,0,6,0,5,0,8,4,0,0,0,7,12,6,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,"17850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Walcha (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,"17900",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,9,0,0,0,3,0,0,0,3,0,0,0,0,0,0,"Walgett (A)",0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"17950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,"Warren (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,12,"18020",0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,34,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,87,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,"Warrumbungle Shire (A)",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,4,22,12,0,115,0,3,17,0,49,13,8,19,7,24,19,18,214,18,242,0,95,1305,9,0,0,3,4,19,15,12,88,"18050",25,7,0,22,13,24,0,7,37,84,24,388,45,15,3,52,143,6,32,42,22,6,27,12,3,0,0,302,0,9,47,18,7,42,9,4,13,8,0,75,6,116,0,8,371,4,72,9,20,6,467,0,157,9,3,13,0,13,5,3,32,0,8,17,3,0,28,19,12,5,212,3,0,6,11,0,11,5,109,0,10,3,121,5,143,15,0,3,3,5,344,15,172,13,0,3,52,3,32,19,43,13,0,0,0,0,0,3,0,45,17,35,16,0,0,126,0,104,0,3,15,16,5,2277,0,38,0,6,5,67,0,42,10,501,7,26,4,27,6,389,"Waverley (A)",27,3,8,140,0,9,14,12,0,15,129,0,55,0,0,44,0,39,0,0,3,3,0,12,9,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"18100",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Weddin (A)",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,"18200",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,10,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wentworth (A)",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10,0,0,7,14,0,12,0,0,0,0,116,0,0,0,0,4,10,4,3,0,3,6,16,35,0,0,0,0,0,0,5,0,29,"18230",0,3,0,0,0,3,0,0,4,9,5,22,24,3,4,3,66,0,3,10,0,0,0,0,0,0,0,41,0,0,3,3,0,10,0,0,3,0,0,13,3,3,0,0,9,0,17,16,0,0,95,0,179,3,0,9,0,0,4,0,0,0,3,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,22,0,0,0,11,0,51,0,0,3,0,0,42,0,12,0,0,0,13,3,4,4,4,3,0,0,0,0,0,0,0,10,14,4,9,0,0,5,0,22,3,7,6,0,0,254,0,4,0,3,0,10,0,14,0,18,0,4,0,0,0,8,"Western Plains Regional (A)",13,0,0,8,0,0,3,0,0,3,58,0,0,0,0,5,0,17,0,0,0,0,0,3,0,5
195,3,61,11,28,4,1360,40,5,52,3,575,116,3,15,3,14,43,253,17,7,44,3,370,325,4,0,0,8,5,203,19,27,60,"18250",174,5,21,15,4,31,0,32,17,634,109,247,77,86,3,73,146,16,72,530,9,143,55,26,53,0,0,255,3,21,297,6,6,22,10,3,10,12,0,722,45,115,0,57,79,0,588,93,10,17,4655,6,921,46,21,9,0,20,40,0,202,0,70,4,21,4,35,69,92,0,863,17,5,0,20,0,53,61,1203,0,180,6,74,28,2003,0,66,0,0,0,131,5,40,14,28,5,287,11,14,21,500,34,0,0,0,0,3,44,4,235,61,26,7,8,9,399,5,594,10,30,188,35,6,1198,0,137,0,21,6,75,11,61,15,138,5,42,0,0,11,63,"Willoughby (C)",120,11,38,75,0,47,4,5,7,15,142,7,11,0,4,24,0,152,0,0,18,38,23,210,43,23
6,0,0,6,7,4,43,0,0,0,0,45,18,3,3,6,23,15,8,6,3,7,0,18,98,3,0,0,0,4,3,7,3,215,"18350",8,9,0,0,3,13,0,3,18,35,5,74,33,3,0,15,386,3,22,12,0,7,0,4,0,0,0,212,0,4,4,29,0,58,3,3,10,3,0,15,0,29,0,0,28,0,3,6,16,4,100,0,93,0,0,9,0,4,3,0,8,0,0,5,0,0,8,3,6,0,23,0,0,3,4,0,0,0,15,0,3,0,35,3,18,14,0,3,0,3,162,3,13,5,0,8,7,0,31,3,3,3,0,0,0,0,0,8,0,4,6,12,4,0,0,6,0,23,4,7,8,0,0,1355,0,17,0,0,3,16,0,81,0,50,3,7,0,0,0,4,"Wingecarribee (A)",7,8,3,37,0,7,3,6,0,7,295,0,0,0,0,7,0,10,0,0,0,0,0,4,3,11
4,0,0,11,15,7,20,0,0,0,0,9,4,3,0,0,21,5,3,10,12,0,0,15,109,0,0,0,0,0,3,3,3,121,"18400",0,3,0,0,3,4,0,3,12,3,3,86,32,0,4,9,209,13,22,16,0,0,0,3,0,0,0,217,3,3,6,14,0,28,0,0,14,7,0,13,0,14,0,0,21,0,3,0,5,0,76,0,32,0,4,5,0,0,8,3,0,0,5,4,0,0,9,0,0,0,8,0,0,0,12,0,3,0,8,0,0,0,27,0,24,31,0,0,0,0,109,0,17,14,0,23,12,3,72,7,3,17,0,0,8,0,0,8,0,5,0,13,3,0,0,6,3,22,6,3,3,7,0,945,0,45,0,0,0,11,0,23,0,63,0,4,0,0,3,14,"Wollondilly (A)",0,11,4,23,0,0,0,0,0,14,228,0,0,0,0,7,0,50,0,0,0,0,0,3,0,23
79,0,4,63,31,8,92,3,6,20,0,316,22,53,15,19,102,45,26,40,26,24,5,177,514,9,4,6,30,0,14,21,17,619,"18450",26,26,3,5,5,88,0,38,44,395,30,1357,108,26,95,459,927,81,340,89,11,4,10,9,23,3,12,847,15,18,31,112,3,196,0,26,37,47,6,114,13,123,3,0,94,0,78,41,71,3,1326,9,589,8,4,24,0,7,63,16,22,0,17,16,0,0,198,14,11,0,130,12,14,12,64,0,16,0,167,49,27,7,383,16,601,55,3,3,0,0,606,45,66,80,0,38,180,27,178,225,28,72,3,0,3,10,0,77,24,57,52,38,12,0,0,44,16,201,4,57,41,11,0,4241,13,403,0,4,20,74,11,275,6,218,3,26,3,3,7,55,"Wollongong (C)",99,80,99,111,0,32,3,11,0,28,807,0,9,26,0,140,0,296,3,4,3,50,13,34,15,226
28,0,4,14,17,3,252,0,0,5,0,37,40,0,10,3,11,17,44,47,21,94,0,76,674,3,0,0,3,3,38,11,25,90,"18500",28,6,0,15,3,23,0,5,23,55,28,158,36,25,0,30,174,6,30,47,3,15,13,27,6,0,0,240,0,3,40,23,8,46,8,3,7,5,0,96,3,122,0,40,195,3,44,3,31,4,487,0,121,3,10,12,0,9,3,0,28,0,19,19,4,0,13,16,10,0,119,3,3,11,3,0,4,5,83,0,12,0,96,12,166,3,4,0,0,4,206,11,57,8,0,3,63,4,17,11,62,12,0,0,0,0,0,5,0,43,28,26,11,0,3,48,0,133,3,3,34,12,11,1666,0,24,0,3,6,67,0,50,9,188,3,19,0,6,3,122,"Woollahra (A)",40,10,6,122,0,10,8,19,0,11,169,0,16,0,3,35,0,29,0,0,0,3,3,7,7,20
3,0,0,0,3,0,6,0,0,0,0,6,0,0,0,0,14,0,0,3,0,0,0,3,41,0,0,0,0,0,0,0,0,26,"18710",0,4,0,0,0,0,0,0,5,3,0,10,9,0,0,4,68,0,0,3,0,0,0,0,0,0,0,63,0,0,0,3,0,11,0,0,0,0,0,7,0,7,0,0,3,0,0,0,3,0,16,0,12,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,4,3,5,3,0,0,0,0,40,0,3,0,0,0,0,6,3,0,0,3,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,3,0,3,0,0,0,298,0,6,0,0,0,0,0,14,0,24,0,0,0,3,0,3,"Yass Valley (A)",0,3,0,13,0,0,0,0,0,0,64,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"19399",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unincorporated NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,12,0,0,5,3,0,0,3,19,0,0,0,0,0,0,0,0,27,"20110",0,0,0,0,0,3,0,0,3,0,3,144,0,3,0,52,78,0,33,0,0,0,0,0,0,0,0,25,0,0,0,7,0,27,0,0,0,0,0,4,0,3,0,0,7,0,3,0,7,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,7,0,3,0,0,0,0,0,62,0,6,4,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,6,0,3,0,0,0,3,0,14,0,4,0,0,0,225,0,10,0,0,0,5,0,18,0,10,0,0,0,0,0,0,"Alpine (S)",0,0,0,3,0,0,0,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0,0,0,0,0,0,4,0,0,0,0,24,3,0,0,0,4,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,21,"20260",0,0,0,0,0,0,0,0,6,0,0,12,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,4,0,0,5,0,0,0,0,3,0,0,3,3,3,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,22,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,98,0,8,0,0,0,0,0,11,0,7,0,0,0,0,0,0,"Ararat (RC)",0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
14,0,5,7,15,0,24,0,0,0,0,261,0,6,0,0,19,16,6,5,5,8,6,32,140,3,0,0,6,0,8,3,11,160,"20570",0,5,0,0,0,7,0,0,13,114,19,80,37,18,8,24,263,4,16,25,0,3,0,0,7,0,0,159,0,3,8,23,0,57,3,6,12,3,7,35,7,48,0,0,22,0,19,26,19,0,376,3,386,0,5,10,0,7,0,0,12,0,6,4,0,0,22,4,0,0,58,0,7,0,7,0,3,0,25,0,0,0,29,0,161,19,3,0,0,3,160,0,11,7,0,7,31,0,33,14,8,3,0,0,0,0,0,11,7,34,22,5,6,0,0,30,0,103,0,24,20,0,0,1100,0,51,0,3,0,12,3,70,3,64,3,13,0,6,0,15,"Ballarat (C)",16,11,10,33,0,0,0,5,0,14,216,0,0,0,0,11,0,3,3,0,0,9,15,3,0,7
72,0,10,119,23,5,221,0,0,15,7,559,15,16,25,4,24,61,45,31,13,26,4,135,329,3,4,3,18,3,26,20,12,179,"20660",44,24,0,15,4,155,0,27,32,262,92,1055,42,115,26,325,291,35,303,192,8,21,14,42,18,0,0,250,3,7,91,54,0,107,6,12,30,7,3,307,16,71,0,8,68,0,67,53,34,3,1921,8,931,14,7,4,0,8,41,3,35,0,61,13,3,0,155,10,6,0,172,21,18,23,44,0,24,10,121,3,16,3,537,6,919,49,16,5,0,3,323,49,54,50,3,35,274,5,107,48,87,46,0,0,3,0,3,49,25,206,93,27,12,0,4,93,4,558,6,66,69,10,3,1593,0,194,0,19,55,124,16,101,3,175,0,53,0,4,4,61,"Banyule (C)",176,34,43,74,0,20,0,6,0,27,290,0,7,3,0,128,0,192,4,7,4,49,13,10,25,174
9,0,0,4,3,0,14,0,0,0,0,30,0,3,0,0,14,6,4,0,3,3,0,12,54,4,0,0,0,0,0,0,4,151,"20740",0,9,0,3,0,11,0,0,9,0,5,89,9,3,0,27,269,0,30,7,0,4,0,3,0,0,0,114,0,0,3,19,0,29,0,0,13,0,0,6,3,10,0,0,14,0,3,0,7,0,42,0,61,0,0,0,0,3,0,0,7,0,4,3,0,0,13,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,29,3,23,13,0,0,0,0,104,0,13,0,0,5,0,0,29,0,6,0,0,0,0,0,0,0,0,9,6,4,3,0,0,3,0,27,3,3,0,3,0,879,0,6,0,0,3,10,0,66,0,42,0,7,0,0,0,0,"Bass Coast (S)",0,0,0,6,0,0,0,0,0,4,203,0,0,0,0,9,0,0,0,0,0,0,0,0,0,16
3,0,5,3,7,0,7,0,0,0,0,45,3,3,0,0,14,0,0,0,3,3,0,8,90,3,0,0,0,0,3,3,3,147,"20830",0,4,0,0,0,3,0,0,11,4,9,78,16,3,0,32,237,0,20,5,0,0,0,9,0,0,0,155,0,3,0,19,0,42,0,0,8,0,0,15,4,26,0,0,8,0,8,4,10,0,48,0,75,0,0,4,3,0,0,0,0,0,3,0,0,0,12,0,0,0,15,0,0,0,8,0,0,0,5,0,0,0,14,0,18,9,0,0,0,0,114,0,9,5,0,3,4,4,27,0,3,0,0,0,0,0,0,9,0,11,8,3,3,0,0,11,0,29,0,3,3,0,0,935,0,20,0,0,0,9,0,46,0,37,0,7,0,0,0,9,"Baw Baw (S)",3,3,0,21,0,4,0,0,0,8,211,0,0,0,0,4,0,0,0,0,0,0,0,0,3,13
