amenity,name,id,lon,lat
community_centre,Holy Trinity Church Hall,2456431574,144.9673469,-37.7395743
community_centre,Community Hall,2463586467,146.0883147,-17.928137800000002
community_centre,Campbellfield Community Centre,2479039966,144.9658555,-37.6793387
community_centre,Garah Hall,2481911188,149.6340772,-29.0745642
community_centre,North Ringwood Community House,2488928380,145.2368249,-37.7922359
community_centre,Elderly Cits.,2492965976,143.8955547,-37.4240743
community_centre,Men'S Shed,2514741074,143.8982932,-37.4179181
community_centre,Bombala Community Centre,2562217180,149.2368993,-36.9121347
community_centre,Community Hall,2565766284,148.9656955,-30.1027486
community_centre,Memorial Hall,2569368699,151.0934617,-29.32168
community_centre,Community Hall,2569392834,150.9276636,-29.4666361
community_centre,Community Hall,2575072570,152.9544499,-29.0856205
community_centre,Memorial Hall,2575129187,152.7202353,-28.9057848
community_centre,Ben Lomond Soliders Memorial Hall,2577697113,151.6584672,-30.0195998
community_centre,Tingha Town Hall,2577712863,151.2114127,-29.9550309
community_centre,Coolac Memorial Hall,2579346994,148.1658628,-34.9286596
community_centre,Yarra Men'S Shed,2628202737,144.992075,-37.800726
community_centre,Nugara Lodge,2666771531,143.852612,-39.9265742
community_centre,Phoenix House,2666771559,143.8554641,-39.9327339
community_centre,Reekara Community Complex,2666771578,143.9156713,-39.7534157
community_centre,Belgium Avenue Neighbourhood House,2672754468,144.9975324,-37.8143932
community_centre,Operation Stitches Community Centre,2672755644,144.9972939,-37.8138993
community_centre,Box Hill South Neighbourhood House,2679605904,145.1277511,-37.8347262
community_centre,Reach,2688014252,144.9866823,-37.8039722
community_centre,Camberwell City Rsl,2714891821,145.06207,-37.835372
community_centre,The Cottage Kitchen,2904210004,138.5039856,-34.8447866
community_centre,Yolla Memorial Hall,2910308002,145.7175087,-41.1253474
community_centre,Yolla Online Access Centre,2910308003,145.7185122,-41.1236675
community_centre,Christian Community Aid Multicultural Centre,2915387416,151.080149,-33.789540099999996
community_centre,Herald Avenue Senior Citizens Club,2966005754,115.8886719,-32.0392928
community_centre,Mackay Children And Family Centre,2988843765,149.1770402,-21.0965441
community_centre,Network West,3047641021,144.9195106,-37.7796555
community_centre,Buffalo Lodge - Merv Burdekin Hall,3056782466,151.208222,-29.9574705
community_centre,Westwood Hall,3061937701,150.1559179,-23.6217995
community_centre,Jambin Community Hall,3064560989,150.3713246,-24.1956648
community_centre,Dululu Hall,3064639595,150.2614576,-23.8476292
community_centre,Marlborough Community Hall,3091839556,149.8922742,-22.8130698
community_centre,Ogmore Community Hall,3101300515,149.6567976,-22.6188053
community_centre,Hunter Street Community Centre,3162173715,151.1008068,-33.7007716
community_centre,Apple Tree Creek Memorial Hall,3162650657,152.2374349,-25.2167399
