amenity,denomination,name,religion,id,lon,lat
place_of_worship,Unknown,Cathedral Of Saint Stephen,Christian,148276861,153.0290011769231,-27.46871883076923
place_of_worship,Anglican,Christ Church St Laurence,Christian,148341693,151.20490346923077,-33.88205092307692
place_of_worship,Nondenominational,Metrochurch,Christian,148360784,115.86379137142856,-31.94842781428571
place_of_worship,Lutheran,Saint Johns Lutheran Church Northbridge,Christian,148868430,115.86234262000002,-31.947831810000004
place_of_worship,Anglican,St. Martin'S Anglican,Christian,148936203,145.35417419473686,-37.926148484210536
place_of_worship,Catholic,Saint Brigid'S,Christian,149620004,115.85324091111111,-31.944156055555556
place_of_worship,Russian Orthodox,The Russian Orthodox Most Holy Mother Of God Cathedral (And School),Christian,149818793,144.98090203333334,-37.76244927777778
place_of_worship,Catholic,The Catholic Diocese Of The Australian Defence Force,Christian,149980592,149.1569063,-35.28741559090909
place_of_worship,Anglican,St. Paul'S Church Bakery Hill,Christian,150013415,143.86652442307692,-37.56337865384615
place_of_worship,Unknown,Perth Mosque,Muslim,150558747,115.86232286111112,-31.943541533333335
place_of_worship,Unknown,St John The Divine,Christian,150676167,115.86770004285714,-31.945778528571427
place_of_worship,Salvation Army,Salvation Army Gungahlin,Christian,151011664,149.13306683333334,-35.187898383333334
place_of_worship,Uniting,Uniting Church,Christian,151317109,146.08786745555557,-37.056556244444444
place_of_worship,Uniting,Lara Uniting Church,Christian,151484413,144.39673542857142,-38.02214352857144
place_of_worship,Anglican,Garrison Church,Christian,151980971,151.2056857285714,-33.858428928571435
place_of_worship,Roman Catholic,St Brigid'S Church,Christian,152423838,151.20372942,-33.858657019999995
place_of_worship,Anglican,St John'S Anglican Church,Christian,153188855,143.85945414285715,-37.54802445
place_of_worship,Anglican,St John'S Hall,Christian,153188913,143.85988402222222,-37.547941755555556
place_of_worship,Unknown,Uniting Church,Christian,153205907,143.86079215384615,-37.550546476923074
place_of_worship,Presbyterian,Scots Presbyterian Church And Hall,Christian,153206997,143.85914254,-37.552157799999996
place_of_worship,Greek Orthodox,Greek Orthodox Church Of Evangelismos,Christian,153520326,115.85220258181816,-31.940263527272727
place_of_worship,Catholic,Saint Patricks Cathedral,Christian,155809136,144.9765707457143,-37.80997456571428
place_of_worship,Catholic,St Columba'S,Christian,156106507,143.86011334999998,-37.545274621428575
place_of_worship,Catholic,St Joseph'S Subiaco,Christian,156244762,115.82516865384615,-31.942945269230766
place_of_worship,Unknown,Faber Centre Of Ignatian Spirituality,Christian,156412902,152.96942125,-27.4665814125
place_of_worship,Roman Catholic,Holy Spirit Church,Christian,156577262,151.38065821764707,-33.46474831764706
place_of_worship,Uniting,Yeronga Uniting Church,Christian,156608295,153.01426234444443,-27.5157594
place_of_worship,Unknown,Auburn Gallipoli Mosque,Muslim,156808623,151.03605193333334,-33.85233905555556
place_of_worship,Uniting,Uniting Church Swan View,Christian,157554879,116.05020281666667,-31.88935628333334
place_of_worship,Catholic,Holy Family Catholic Church,Christian,157867538,144.83229741999997,-38.37271484
place_of_worship,Unknown,Gateway Family Church,Christian,158466705,145.14006037333334,-38.11109546
place_of_worship,Unknown,Destiny Christian Centre,Christian,158582962,116.01202202222223,-31.874314000000002
place_of_worship,Unknown,Burnie City Church,Christian,158891674,145.90418564,-41.05046536
place_of_worship,Church Of Christ,Salisbury East Church Of Christ,Christian,159200263,138.6701910333333,-34.779461516666665
place_of_worship,Pentecostal,Bayside Church,Christian,159431960,145.1656743375,-38.10585143750001
place_of_worship,Seventh Day Adventist,College Church,Christian,160909395,151.46106437619048,-33.08590237142857
place_of_worship,Catholic,Our Lady Of Lourdes,Christian,165181974,151.12681898750003,-33.9269219625
place_of_worship,Anglican,Saint George'S Church,Christian,167318579,145.90458240624997,-41.05239469375
place_of_worship,Unknown,Canberra Christian Life Centre,Christian,168661280,149.03076956153848,-35.20309324871794
place_of_worship,Catholic,St. John Vianney'S Catholic Church,Christian,169347344,149.05567380000002,-35.35112362222222
place_of_worship,Pentecostal,Calvary Church,Christian,169409606,149.07909519999995,-35.35100518666666
place_of_worship,Unknown,Inmar,Christian,169416432,132.70668128,-27.003697980000005
place_of_worship,Presbyterian,Weston Creek Presbyterian Church,Christian,169568844,149.05369993333335,-35.34073314444444
place_of_worship,Presbyterian,Cheltenham Presbyterian Church,Christian,170536749,145.05483094615386,-37.96562099230769
place_of_worship,Lutheran,Lutheran Church Centre,Christian,170999500,145.88171433333332,-41.05737643333334
place_of_worship,Catholic,St Joseph'S Catholic Church,Christian,171033461,145.20992034444444,-17.139010533333334
place_of_worship,Pentecostal,Hope Bathurst,Christian,172307190,149.598799625,-33.4061723
place_of_worship,Unknown,Sutton Grange Uniting Church,Christian,172481826,144.35785374000002,-36.98759086
place_of_worship,Baptist,Newtown Baptist Church,Christian,172735167,151.1805948,-33.89505554
place_of_worship,Anglican,St Stephen'S Anglican Church,Christian,172735168,151.18010978461538,-33.89451395384615
place_of_worship,Anglican,Saint George'S Anglican Church,Christian,172806141,147.33222113076923,-42.89141688461538
place_of_worship,Unknown,Saint Agnes,Christian,173023079,152.90932224705887,-31.431904811764706
place_of_worship,Roman Catholic,St Joseph'S,Christian,173101969,147.25041906923076,-37.45989723076923
place_of_worship,Uniting,Uniting Church,Christian,173790247,143.88552736666665,-37.651286866666666
place_of_worship,Unknown,Suncoast Christian Church,Christian,174060568,152.976359275,-26.666088887500003
place_of_worship,Salvation Army,The Salvation Army,Christian,174075087,150.67387564285715,-33.78301388571428
place_of_worship,Anglican,Church Of England,Christian,174402331,139.9829054,-20.7771662
place_of_worship,Catholic,Roman Catholic Church,Christian,174402335,139.9814836,-20.774102572727273
place_of_worship,Catholic,Padre Pio Parish Glenmore Park,Christian,174457345,150.67242728000002,-33.78801498
place_of_worship,Anglican,Glenmore Park Anglican Church,Christian,174613884,150.67278448947368,-33.78578629473684
place_of_worship,Anglican,All Saints Anglican,Christian,174618070,151.15813922,-33.895618840000004
place_of_worship,Unknown,Wesleyan Methodist Church,Christian,175162933,143.8663757,-37.57798313333333
place_of_worship,Anglican,Harrington Community Church,Christian,175386537,152.66268530476194,-31.881287099999998
place_of_worship,Anglican,St. Alban'S Community Anglican Church,Christian,175831785,144.32526008000002,-38.12922092
place_of_worship,Uniting,Western Heights Uniting Church,Christian,175831790,144.32671558571428,-38.13234917142857
place_of_worship,Lutheran,Good Shepherd Lutheran Church,Christian,176613384,138.66691179999998,-34.82888208
place_of_worship,Baptist,Northside Baptist Church,Christian,176647439,138.6611761,-34.83343232
place_of_worship,Uniting,Para Vista Uniting Church,Christian,176647443,138.6616443,-34.83399682857143
place_of_worship,Seventh Day Adventist,Para Vista Seventh Day Adventist Church,Christian,176661244,138.6626339,-34.83384136000001
place_of_worship,Baptist,South Pine Community Church,Christian,177396688,152.96015458000002,-27.335214119999996
place_of_worship,Catholic,Saint Patrick'S Church,Christian,177931462,143.04007318333333,-22.385668733333333
place_of_worship,Unknown,Life Ministry Centre,Christian,178592924,145.3022709916667,-37.76299291666667
place_of_worship,Seventh Day Adventist,Avondale Memorial Church,Christian,178952743,151.45468929166665,-33.077480291666674
place_of_worship,Anglican,St Peter'S Cathedral,Christian,181219964,138.59801405333334,-34.91272006
place_of_worship,Catholic,Parish Of Holy Spirit,Christian,181548740,144.33468357142857,-38.13508081428572
place_of_worship,Unknown,Sukyo Mahikari Australia-Oceania Regional Headquarters,New Religion,181722880,149.04891149999997,-35.330060714285715
place_of_worship,Unknown,Act Bah' Centre,Bahai,181733277,149.06001245555555,-35.32428873333333
place_of_worship,Seventh Day Adventist,Lakeside Adventist Church,Christian,182490689,151.52594638333335,-33.11140531666666
place_of_worship,Seventh Day Adventist,Hillview Sda Church,Christian,182490690,151.4756965857143,-33.10417042857143
place_of_worship,Unknown,Jesus The Annointed One,Christian,183679625,138.51961166153848,-34.851597053846156
place_of_worship,Latter Day Saints,Karawatha Chapel Of The Church Of Jesus Christ Of Latter-Day Saints,Christian,183963485,153.0866896206896,-27.617747255172414
place_of_worship,Pentecostal,Calvary Christian Church,Christian,183970259,153.0455197,-26.709548260000002
place_of_worship,Unknown,Bull Creek Church,Christian,184553168,115.87294456,-32.057033759999996
place_of_worship,Uniting,Saint Andrews,Christian,185028159,153.0274617,-27.465515582352943
place_of_worship,Anglican,All Saints' Wickham Terrace,Christian,185930981,153.02805707777782,-27.46447511111111
place_of_worship,Lutheran,Saint Andrews,Christian,185931257,153.02809581333332,-27.464077780000004
place_of_worship,Anglican,St James Anglican Church Wyong,Christian,186129301,151.42648089230772,-33.28796131153845
place_of_worship,Unknown,Christ The Redeemer Mausoleum,Christian,186254033,149.09348522799996,-35.344113128000004
place_of_worship,Unknown,Living Word Church,Christian,186630443,153.12653088000002,-27.6172888
place_of_worship,Christian And Missionary Alliance,Brisbane Chinese Alliance Church,Christian,186718588,153.12159984,-27.593252919999998
place_of_worship,Catholic,St Marys,Christian,186836466,138.50573141666666,-34.8462769
place_of_worship,Uniting,St Ninian'S Uniting Church,Christian,186854214,149.12798221111112,-35.24820817222221
place_of_worship,Presbyterian,St Andrews Presbyterian Church,Christian,187185957,138.59732652,-34.906846619999996
place_of_worship,Unknown,Wesley Uniting Church,Christian,187920215,144.96808647692308,-37.809981823076924
place_of_worship,Catholic,St Therese'S Church,Christian,188282264,144.9093994,-37.75107684285714
place_of_worship,Uniting,Ashgrove West Uniting Church,Christian,188552358,152.97726758125,-27.448475818749994
place_of_worship,Anglican,St Peter'S Eastern Hill,Christian,188589509,144.97516865999998,-37.80978955333334
place_of_worship,Catholic,Kutjungka Catholic Church,Christian,189151675,127.98486086,-20.14365142
place_of_worship,Roman Catholic,Sacred Heart Catholic Church,Christian,189334532,147.53531786,-34.4460751
place_of_worship,Unknown,Church Of Christ,Christian,189779509,153.03023128888887,-27.462835277777778
place_of_worship,Presbyterian,St Pauls Presbyterian Church,Christian,189961028,151.59549346,-30.98177402
place_of_worship,Catholic,St Patricks Catholic Church,Christian,189961030,151.59122986,-30.98220192
place_of_worship,Unknown,St Martin'S Community Church,Christian,190010031,144.98670280000002,-37.80118795
place_of_worship,Anglican,All Souls,Christian,190370689,149.04128276,-35.35562618
place_of_worship,Unknown,Woden Valley Alliance Church,Christian,190370997,149.05668015555557,-35.34996584444444
