,Date,Holiday Name,Information,More Information,Jurisdiction
283,10/06/2023,Queen's Birthday / Volunteer's Day,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia
284,7/10/2023,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia
285,25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia
286,26/12/2023,Boxing Day / Proclamation Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia
287,1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
288,2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
289,26/01/2023,Australia Day,Always celebrated on 26 January,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
290,14/03/2023,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
291,7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
292,8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
293,9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
294,10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
295,11/04/2023,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
296,25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
297,10/06/2023,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
298,25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
299,26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,Tasmania
300,1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://business.vic.gov.au/business-information/public-holidays,Victoria
301,2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://business.vic.gov.au/business-information/public-holidays,Victoria
302,26/01/2023,Australia Day,Always celebrated on 26 January,https://business.vic.gov.au/business-information/public-holidays,Victoria
303,13/03/2023,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://business.vic.gov.au/business-information/public-holidays,Victoria
304,7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://business.vic.gov.au/business-information/public-holidays,Victoria
305,8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://business.vic.gov.au/business-information/public-holidays,Victoria
306,9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://business.vic.gov.au/business-information/public-holidays,Victoria
307,10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://business.vic.gov.au/business-information/public-holidays,Victoria
308,25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://business.vic.gov.au/business-information/public-holidays,Victoria
309,12/06/2023,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://business.vic.gov.au/business-information/public-holidays,Victoria
310,7/11/2023,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,https://business.vic.gov.au/business-information/public-holidays,Victoria
311,25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://business.vic.gov.au/business-information/public-holidays,Victoria
312,26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://business.vic.gov.au/business-information/public-holidays,Victoria
313,1/01/2023,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
314,2/01/2023,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
315,26/01/2023,Australia Day,Always celebrated on 26 January,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
316,6/03/2023,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
317,7/04/2023,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
318,8/04/2023,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
319,9/04/2023,Easter Sunday,Public Holiday as part of Easter.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
320,10/04/2023,Easter Monday,Public Holiday as part of Easter.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
321,25/04/2023,Anzac Day,Celebrated on the 25 April each year.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
322,5/06/2023,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
323,25/09/2023,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
324,25/12/2023,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
325,26/12/2023,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia
