p_iran_tot, p_ireland_65_74_yrs, p_korea_south_5_14_yrs, p_nthern_ireland_25_44_yrs, p_hong_kong_5_14_yrs, p_italy_75_84_yrs, p_italy_0_4_yrs, p_iraq_0_4_yrs, p_iraq_75_84_yrs, p_myanmar_25_44_yrs, p_japan_65_74_yrs, p_pakistan_0_4_yrs, p_myanmar_0_4_yrs, p_myanmar_75_84_yrs, p_new_zealand_0_4_yrs, p_india_55_64_yrs, p_nepal_45_54_yrs, p_myanmar_55_64_yrs, p_japan_45_54_yrs, p_iran_25_44_yrs, p_greece_5_14_yrs, p_netherlands_0_4_yrs, p_myanmar_45_54_yrs, p_ireland_55_64_yrs, p_malaysia_tot, p_nthern_ireland_5_14_yrs, p_malta_85_yrs_ov, p_malta_65_74_yrs, p_myanmar_65_74_yrs, p_iraq_55_64_yrs, p_hong_kong_85_yrs_ov, lga_code_2016, p_myanmar_5_14_yrs, p_korea_south_0_4_yrs, p_indonesia_85_yrs_ov, p_netherlands_5_14_yrs, p_malta_15_24_yrs, p_myanmar_15_24_yrs, p_korea_south_15_24_yrs, p_malta_55_64_yrs, p_lebanon_75_84_yrs, p_iraq_tot, p_italy_25_44_yrs, p_korea_south_tot, p_ireland_0_4_yrs, p_lebanon_0_4_yrs, p_nthern_ireland_75_84_yrs, p_mauritius_tot, p_nthern_ireland_0_4_yrs, p_iraq_15_24_yrs, p_indonesia_75_84_yrs, p_nepal_55_64_yrs, p_ireland_85_yrs_ov, p_netherlands_75_84_yrs, p_pakistan_55_64_yrs, p_iran_65_74_yrs, p_iran_75_84_yrs, p_india_45_54_yrs, p_malaysia_25_44_yrs, p_hong_kong_15_24_yrs, p_pakistan_15_24_yrs, p_greece_tot, p_india_65_74_yrs, p_ireland_75_84_yrs, p_hong_kong_45_54_yrs, p_mauritius_25_44_yrs, p_malta_25_44_yrs, p_nepal_15_24_yrs, p_india_75_84_yrs, p_hong_kong_0_4_yrs, p_myanmar_tot, p_greece_65_74_yrs, p_hong_kong_tot, p_malaysia_45_54_yrs, p_iran_5_14_yrs, p_iran_45_54_yrs, p_mauritius_85_yrs_ov, p_nepal_5_14_yrs, p_nepal_65_74_yrs, p_japan_tot, p_new_zealand_25_44_yrs, p_hong_kong_25_44_yrs, p_iran_0_4_yrs, p_iran_85_yrs_ov, p_japan_55_64_yrs, p_indonesia_65_74_yrs, p_japan_0_4_yrs, p_india_0_4_yrs, p_ireland_15_24_yrs, p_japan_5_14_yrs, p_mauritius_75_84_yrs, p_pakistan_tot, p_nepal_0_4_yrs, p_netherlands_tot, p_iran_15_24_yrs, p_korea_south_45_54_yrs, p_nthern_ireland_15_24_yrs, p_iraq_25_44_yrs, p_indonesia_5_14_yrs, p_myanmar_85_yrs_ov, p_pakistan_45_54_yrs, p_korea_south_85_yrs_ov, p_new_zealand_45_54_yrs, p_indonesia_0_4_yrs, p_indonesia_25_44_yrs, p_lebanon_15_24_yrs, p_netherlands_15_24_yrs, p_pakistan_25_44_yrs, p_greece_25_44_yrs, p_nthern_ireland_85_yrs_ov, p_nepal_85_yrs_ov, p_nthern_ireland_65_74_yrs, p_indonesia_15_24_yrs, p_lebanon_85_yrs_ov, p_ireland_45_54_yrs, p_mauritius_5_14_yrs, p_mauritius_0_4_yrs, p_netherlands_65_74_yrs, p_korea_south_25_44_yrs, p_nepal_75_84_yrs, p_japan_15_24_yrs, p_iraq_85_yrs_ov, p_iraq_5_14_yrs, p_hong_kong_75_84_yrs, p_new_zealand_55_64_yrs, p_ireland_25_44_yrs, p_indonesia_45_54_yrs, p_mauritius_55_64_yrs, p_malta_75_84_yrs, p_new_zealand_75_84_yrs, p_malaysia_5_14_yrs, p_new_zealand_tot, p_india_5_14_yrs, p_indonesia_55_64_yrs, p_malaysia_0_4_yrs, p_greece_75_84_yrs, p_india_85_yrs_ov, p_new_zealand_5_14_yrs, p_italy_85_yrs_ov, p_malaysia_65_74_yrs, p_netherlands_85_yrs_ov, p_nthern_ireland_45_54_yrs, p_korea_south_55_64_yrs, p_iraq_45_54_yrs, p_greece_55_64_yrs, p_japan_25_44_yrs, p_malta_tot, p_malaysia_15_24_yrs, p_malaysia_75_84_yrs, p_new_zealand_65_74_yrs, p_malta_5_14_yrs, p_nthern_ireland_55_64_yrs, p_italy_65_74_yrs, p_netherlands_45_54_yrs, p_indonesia_tot, p_iran_55_64_yrs, p_pakistan_85_yrs_ov, p_italy_5_14_yrs, p_lebanon_5_14_yrs, p_mauritius_65_74_yrs, p_india_15_24_yrs, p_italy_15_24_yrs, p_greece_45_54_yrs, p_korea_south_65_74_yrs, p_greece_15_24_yrs, p_greece_85_yrs_ov, p_greece_0_4_yrs, p_nepal_25_44_yrs, p_new_zealand_15_24_yrs, p_malta_0_4_yrs, p_lebanon_65_74_yrs, p_lebanon_tot, p_malaysia_55_64_yrs, p_iraq_65_74_yrs, p_italy_45_54_yrs, p_korea_south_75_84_yrs, lga_name_2016, p_japan_85_yrs_ov, p_india_tot, p_nepal_tot, p_malaysia_85_yrs_ov, p_japan_75_84_yrs, p_lebanon_45_54_yrs, p_pakistan_5_14_yrs, p_hong_kong_55_64_yrs, p_italy_tot, p_pakistan_65_74_yrs, p_lebanon_55_64_yrs, p_ireland_5_14_yrs, p_lebanon_25_44_yrs, p_new_zealand_85_yrs_ov, p_nthern_ireland_tot, p_mauritius_15_24_yrs, p_netherlands_55_64_yrs, p_netherlands_25_44_yrs, p_hong_kong_65_74_yrs, p_mauritius_45_54_yrs, p_pakistan_75_84_yrs, p_ireland_tot, p_india_25_44_yrs, p_italy_55_64_yrs, p_malta_45_54_yrs
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10850",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,19,3,0,0,0,3,0,75,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,0,0,13,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,"Blayney (A)",0,3,0,0,0,0,0,0,0,0,3,0,0,4,4,0,3,3,0,0,0,7,0,0,0
32,78,7,15,4,34,0,0,0,3,9,0,0,4,0,41,3,6,27,16,0,0,0,53,158,0,4,36,3,4,0,"10900",0,0,9,3,0,0,31,32,3,21,10,93,0,0,17,47,0,0,14,0,8,56,6,0,0,32,42,19,0,69,41,27,13,3,3,0,30,0,18,27,97,36,0,9,4,0,0,106,258,21,0,0,15,10,0,3,9,7,3,26,0,359,0,15,0,14,3,3,6,0,274,0,28,3,7,5,4,6,0,32,44,0,45,0,0,124,24,0,0,0,0,4,269,55,16,14,4,59,0,1121,3,12,0,17,7,26,16,16,27,33,9,3,9,38,87,10,12,168,0,25,46,33,129,3,0,0,0,12,27,3,5,3,0,8,0,9,42,0,7,51,35,4,24,0,"Blue Mountains (C)",0,261,16,0,0,11,3,21,174,3,8,11,15,20,123,0,72,29,6,9,0,283,71,43,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bogan (A)",0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,8,0,0
137,14,6,30,6,92,0,6,15,12,8,7,0,3,8,51,9,3,28,92,7,0,5,16,454,0,21,71,0,48,4,"11100",0,4,7,3,0,4,18,34,15,409,46,200,4,0,3,54,0,32,27,0,5,4,18,6,0,68,220,58,11,761,40,9,45,22,5,8,15,0,31,220,382,56,4,9,0,5,0,147,354,153,0,3,3,81,0,25,17,0,0,150,0,54,5,31,6,169,46,0,16,0,173,20,979,0,3,88,46,0,0,3,322,12,55,3,0,8,110,0,12,5,26,12,122,338,211,7,59,27,13,878,29,144,9,270,5,41,40,37,3,13,21,88,92,91,191,46,8,71,0,4,87,13,1841,15,0,4,0,11,54,5,48,5,15,64,0,52,88,0,40,174,65,22,34,5,"Botany Bay (C)",0,766,72,6,0,42,4,76,352,3,37,5,34,3,58,3,4,15,23,4,0,463,476,47,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,"Bourke (A)",0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brewarrina (A)",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"14300",0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,28,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,9,0,0,0,0,0,14,3,0,0,0,0,0,66,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,"Junee (A)",0,17,3,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,3,12,0,0
4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,5,16,0,0,4,0,0,0,"14350",0,0,0,0,0,0,0,9,0,3,5,10,0,0,3,3,0,0,0,0,0,15,0,0,0,3,8,0,0,9,8,0,0,0,0,0,3,0,3,0,6,3,0,3,0,0,0,12,58,0,0,0,0,3,0,0,0,3,0,8,0,59,0,3,0,0,0,0,3,0,57,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27,3,0,0,0,0,3,79,6,0,0,5,18,0,262,3,3,0,0,3,0,0,3,3,3,3,0,0,3,23,0,0,44,0,3,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,5,3,0,0,0,"Kempsey (A)",0,45,6,0,0,0,3,0,13,0,0,0,0,5,18,0,13,0,0,0,0,25,26,0,3
0,0,0,4,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,14,0,0,0,"11250",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,7,8,3,0,0,0,0,0,0,7,23,0,0,0,0,0,3,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,10,6,0,0,8,4,0,72,3,0,0,5,0,3,6,0,0,0,0,0,0,3,19,0,0,17,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,"Broken Hill (C)",0,50,3,0,0,0,0,0,30,0,0,0,0,0,4,0,3,0,0,0,0,12,36,3,0
3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,9,0,0,0,"13910",0,0,0,0,0,0,0,0,0,3,5,3,0,0,4,0,0,0,0,0,3,8,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,37,0,3,0,0,0,0,0,0,3,0,0,0,0,0,20,3,0,0,0,0,0,33,3,3,0,0,4,0,152,0,0,0,0,0,6,0,3,4,0,0,0,0,0,9,0,0,25,0,0,6,3,13,0,0,0,3,0,3,0,3,0,0,0,0,0,6,0,6,66,0,0,0,0,"Hilltops (A)",0,35,3,0,0,11,0,0,26,0,11,0,30,3,7,0,15,4,0,0,0,15,30,3,0
