lga_name,lga_code,afghanistan,australia,bangladesh,bosnia_and_herzegovina,cambodia,canada,chile,china,croatia,egypt,england,fiji,france,germany,greece,hong_kong,india,indonesia,iran,iraq,ireland,italy,japan,south_korea,lebanon,malaysia,malta,mauritius,myanmar,nepal,netherlands,new_zealand,northern_ireland,pakistan,papua_new_guinea,philippines,poland,scotland,singapore,south_africa,south_eastern_europe,sri_lanka,taiwan,thailand,north_macedonia,turkey,united_states_of_america,vietnam,wales,zimbabwe
Albury,10050,0.03684758106467834,90.13568579850876,0.1842379053233917,0.0,0.010837523842552455,0.08670019074041964,0.01842379053233917,0.2579330674527484,0.09645396219871684,0.030345066759146867,2.1935148257326165,0.08778394312467487,0.024926304837870644,0.5418761921276226,0.12571527657360845,0.06502514305531472,1.2083839084445986,0.013005028611062945,0.04985260967574129,0.0,0.13221779087913993,0.13763655280041617,0.020591295300849664,0.06502514305531472,0.02167504768510491,0.08453268597190913,0.02167504768510491,0.007586266689786717,0.0032512571527657363,0.4335009537020981,0.43783596323911916,1.161782555921623,0.03468007629616785,0.06177388590254899,0.04335009537020982,0.5884775446505982,0.0693601525923357,0.33813074388763653,0.03468007629616785,0.28719438182764,0.06719264782382521,0.21675047685104906,0.0032512571527657363,0.13546904803190565,0.0,0.0,0.20699670539275186,0.07044390497659095,0.08453268597190913,0.06285763828680423
Armidale Regional,10130,0.0,88.7870855148342,0.2048713862963806,0.0,0.0,0.18779877077168222,0.02845435920783064,1.0585021625312998,0.0,0.0,2.124592154184688,0.13658092419758708,0.08726003490401396,0.3926701570680628,0.011381743683132257,0.10053873586766827,0.6070263297670537,0.13468396691706505,0.16693224068593976,0.3395553532134456,0.09864177858714622,0.07587829122088172,0.09864177858714622,0.04552697473252903,0.02845435920783064,0.15175658244176343,0.0,0.0,0.05121784657409515,0.5652932695955687,0.2371196600652553,1.1818043857652327,0.024660444646786555,0.11381743683132256,0.15744745428332954,0.5463236967903483,0.03414523104939677,0.36231884057971014,0.07587829122088172,0.34524622505501174,0.0,0.22763487366264512,0.15175658244176343,0.08156916306244782,0.0,0.0,0.5880567569618332,0.17641702708854995,0.12709613779497686,0.08536307762349192
Ballina,10250,0.0,89.20018371497933,0.003936749557115675,0.0,0.0157469982284627,0.21389672593661835,0.0761104914375697,0.1417229840561643,0.02493274719506594,0.0157469982284627,3.7031690833934783,0.12072698641821403,0.12466373597532972,0.3648054589593859,0.0157469982284627,0.048553244537759985,0.2821337182599567,0.08660849025654484,0.03805524571878485,0.0,0.19421297815103994,0.2335804737221967,0.15353323272751132,0.07217374188045404,0.00787349911423135,0.13647398464667673,0.059051243356735124,0.005248999409487566,0.003936749557115675,0.01837149793320648,0.39498720556393935,1.730857555278525,0.047240994685388095,0.0,0.15484548257988323,0.28607046781707235,0.03936749557115675,0.44878944951118693,0.05117774424250377,0.5996981825339545,0.010497998818975132,0.05380224394724755,0.011810248671347024,0.16271898169411456,0.0,0.011810248671347024,0.3700544583688734,0.05642674365199134,0.13253723508956106,0.0761104914375697
Balranald,10300,0.0,96.19732785200411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6423432682425488,0.3083247687564234,0.0,0.0,0.0,0.0,0.1541623843782117,0.0,0.0,0.0,0.0,1.1305241521068858,0.0,0.0,0.0,0.4624871531346352,0.0,0.0,0.0,0.1541623843782117,0.0,0.43679342240493313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20554984583761562,0.3083247687564234,0.0,0.0,0.0,0.0,0.0,0.0
Bathurst Regional,10470,0.047766263749386334,91.63426964055887,0.08624464288083644,0.003980521979115528,0.015922087916462112,0.143298791248159,0.027863653853808696,0.3184417583292422,0.05705414836732257,0.047766263749386334,2.140193984104449,0.12472302201228655,0.046439423089681166,0.2666949726007404,0.03582469781203975,0.05572730770761739,0.4590868682579909,0.034497857152334575,0.050419945068796684,0.04113206045086045,0.14993299454668488,0.10747409343611926,0.06899571430466915,0.07032255496437433,0.07695675826290022,0.11808881871376066,0.053073626388207035,0.011941565937346584,0.013268406597051759,0.15258667586609526,0.2746560165589714,1.1676197805405548,0.034497857152334575,0.07032255496437433,0.07032255496437433,0.4099937638488994,0.027863653853808696,0.4285695330847718,0.06103467034643809,0.2534265660036886,0.03715153847174493,0.14064510992874865,0.0,0.12339618135258137,0.006634203298525879,0.0,0.1592208791646211,0.15125983520639005,0.05705414836732257,0.0663420329852588
Bega Valley,10550,0.0,88.57410913233595,0.005026051701318501,0.0,0.010052103402637002,0.1725611084119352,0.030156310207911007,0.11057313742900703,0.03685771247633567,0.03685771247633567,4.843438489503929,0.015078155103955503,0.09549498232505152,0.7924408182412169,0.050260517013185006,0.025130258506592503,0.13235269480138717,0.07204007438556519,0.005026051701318501,0.0,0.20606811975405853,0.15748295330797968,0.050260517013185006,0.04355911474476034,0.0,0.08711822948952068,0.09381963175794535,0.005026051701318501,0.0,0.020104206805274003,0.6852183819464223,1.2632143275980499,0.08879358005662685,0.0,0.07036472381845901,0.36857712476335674,0.07706612608688368,0.5461642848766104,0.050260517013185006,0.2831342458409422,0.05528656871450351,0.010052103402637002,0.005026051701318501,0.2077434703211647,0.0,0.0,0.4071101878067986,0.050260517013185006,0.14072944763691803,0.020104206805274003
Bellingen,10600,0.0,88.75119993018588,0.0,0.0,0.0,0.18762544724670566,0.0392704424469849,0.026180294964656604,0.0,0.0,4.921895453355441,0.05672397242342264,0.2181691247054717,0.8464962038572301,0.0,0.05672397242342264,0.17453529976437734,0.043633824941094336,0.0,0.0,0.1527183872938302,0.043633824941094336,0.05236058992931321,0.026180294964656604,0.0,0.11781132734095472,0.0,0.0,0.0,0.0,0.5846932542106641,1.509730342961864,0.06981411990575094,0.0,0.0785408848939698,0.1527183872938302,0.017453529976437735,0.5628763417401169,0.05236058992931321,0.3577973645169736,0.0,0.0,0.0,0.05672397242342264,0.0,0.026180294964656604,0.47997207435203765,0.026180294964656604,0.23998603717601882,0.06981411990575094
Berrigan,10650,0.0,92.87791680757525,0.0,0.0,0.0,0.13527223537368954,0.0,0.09469056476158268,0.0,0.09469056476158268,2.184646601285086,0.040581670612106865,0.0,0.5140344944200204,0.0,0.0,0.15556307067974298,0.0,0.0,0.06087250591816029,0.0,0.10821778829895165,0.0,0.020290835306053433,0.0,0.26378085897869463,0.040581670612106865,0.0,0.0,0.06087250591816029,0.5343253297260737,1.1362867771389924,0.040581670612106865,0.0,0.0,0.6222522827189719,0.0,0.45316198850185996,0.0,0.14203584714237405,0.0,0.2164355765979033,0.020290835306053433,0.040581670612106865,0.0,0.0,0.06087250591816029,0.0,0.06087250591816029,0.020290835306053433
Blacktown,10750,1.349791941957141,59.801380487684774,0.7948063459754927,0.1679237695028767,0.04464835318160554,0.09848901437118868,0.2211078372633186,1.5296985415418456,0.33765317093589187,0.6421483737001502,1.735048136505774,2.3246690358746234,0.052035029259444684,0.3130309173430947,0.23013599691401088,0.30892720841096183,8.460698779556964,0.490146994853949,0.5083674625126189,0.5531799640515097,0.20108173767451024,0.42481594865439387,0.049736952257450284,0.481775428632398,0.6048866965963838,0.4425439712412078,0.7450693937180424,0.22225687576431577,0.27215797637905137,0.45469094968032103,0.16070124178232287,2.639341436790571,0.0681215682734055,1.351433425529994,0.04514079825346148,7.194294203100762,0.3056442412652555,0.2915274825387185,0.17826511601185152,0.5855171904367167,0.17383311036514804,1.6096387915397938,0.09274382186620268,0.2043647048202165,0.06204807905384887,0.4364704820216512,0.26739767401777725,0.32238737370835757,0.043663463037893646,0.10456250359074531
Bland,10800,0.0,95.6891495601173,0.0,0.0,0.0,0.11730205278592376,0.0,0.09775171065493646,0.0,0.0,1.5835777126099706,0.0,0.0,0.05865102639296188,0.0,0.02932551319648094,0.2541544477028348,0.0,0.0,0.0,0.05865102639296188,0.0,0.0,0.0,0.0,0.0,0.02932551319648094,0.0,0.0,0.0,0.06842619745845552,0.5865102639296188,0.0,0.0,0.4496578690127077,0.30303030303030304,0.0,0.0,0.0,0.33235581622678395,0.0,0.05865102639296188,0.05865102639296188,0.0,0.0,0.0,0.02932551319648094,0.05865102639296188,0.05865102639296188,0.07820136852394917
